LocalGovernmentArea,CouncilSeat,Region,LandArea,Population,Latitude,Longitude
City of Melbourne,Melbourne,Inner Melbourne,37.0,169961,-37.8142176,144.9631608
City of Port Phillip,St Kilda,Inner Melbourne,21.0,113200,-37.8638261,144.981637
City of Stonnington,Malvern,Inner Melbourne,26.0,116207,-37.8576088,145.0350666
City of Yarra,Richmond,Inner Melbourne,20.0,98521,-37.8203955,145.0025153
City of Banyule,Greensborough,Metropolitan Melbourne,63.0,130237,-37.7040276,145.1082164336504
City of Bayside,Sandringham,Metropolitan Melbourne,37.0,105718,-37.950301,145.0043875
City of Boroondara,Camberwell,Metropolitan Melbourne,60.0,181289,-37.8384623,145.0740767
City of Darebin,Preston,Metropolitan Melbourne,54.0,161609,-37.721400349999996,145.0099893570872
City of Glen Eira,Caulfield North,Metropolitan Melbourne,39.0,153858,-37.870828,145.0218005
City of Hobsons Bay,Altona,Metropolitan Melbourne,64.0,96470,-37.8672062,144.830142
City of Kingston,Cheltenham,Metropolitan Melbourne,91.0,163431,-37.9670081,145.0546951
City of Manningham,Doncaster,Metropolitan Melbourne,113.0,125508,-37.7848299,145.1238431
City of Maribyrnong,Footscray,Metropolitan  Melbourne,31.0,91387,-37.8015202,144.9025869
City of Monash,Glen Waverley,Metropolitan Melbourne,82.0,200077,-37.8797175,145.1629331
City of Moonee Valley,Moonee Ponds,Metropolitan Melbourne,43.0,127883,-37.765935,144.9192614
City of Moreland,Coburg,Metropolitan Melbourne,51.0,181725,-37.7449752,144.9643314
City of Whitehorse,Nunawading,Metropolitan Melbourne,64.0,176196,-37.8204496,145.1752107
City of Brimbank,Sunshine,Outer Metropolitan,123.0,208714,-37.788095299999995,144.83260045
Shire of Cardinia,Officer,Outer Metropolitan,1283.0,107120,-38.0662738,145.4116132
City of Casey,Narre Warren,Outer Metropolitan,409.0,340419,-38.0276567,145.3036255
City of Frankston,Frankston,Outer Metropolitan,130.0,141845,-38.150634999999994,145.14244286734106
City of Greater Dandenong,Dandenong,Outer Metropolitan,130.0,166094,-37.98749,145.2147923
City of Hume,Broadmeadows,Outer Metropolitan,504.0,224394,-37.682938750000005,144.91957535173304
City of Knox,Wantirna South,Outer Metropolitan,114.0,163203,-37.8737902,145.2217475
City of Maroondah,Ringwood East,Outer Metropolitan,61.0,117498,-37.8118681,145.2502993
City of Melton,Melton,Outer Metropolitan,528.0,156713,-37.7068658,144.5454255199667
Shire of Mornington Peninsula,Rosebud,Outer Metropolitan,724.0,165822,-38.3710325,144.9095115
Shire of Nillumbik,Greensborough,Outer Metropolitan,432.0,64941,-37.7040276,145.1082164336504
City of Whittlesea,South Morang,Outer Metropolitan,490.0,223322,-37.6316767,145.0836353
City of Wyndham,Werribee,Outer Metropolitan,542.0,255322,-37.9078479,144.64209691445848
Shire of Yarra Ranges,Lilydale,Outer Metropolitan,2468.0,158173,-37.7556696,145.3475477
